Clean,DateIn,Name,WorkOrderNo,Source,SourceOld,Storage,StorageTime,Rack#,SpecialInstructions,RepairsNeeded,SeeRepair,ReturnStatus,Treat,RushOrder,DateRequired,ShipTo
"10/26/18 00:00:00","10/16/18 00:00:00",,42320,"ACI",,"frame next to 31A/box truck","Temporary","fabric 25 bin 2 top","Clean & Treat

rebraid and full restitch","yes","R10693","Pick Up","10/30/18 00:00:00",0,,"Customer"
"10/26/18 00:00:00","10/17/18 00:00:00",,42311,"NS CT",,,"Temporary","bin 3 bottom","Clean Only

WEIGH - was 54# last year, list this year says 50#",,,"Pick Up",,0,,"Source"
"10/26/18 00:00:00","10/17/18 00:00:00",,42312,"NS CT",,,"Temporary",,"Clean Only

WEIGH!  New list says main 50# & genoa 52#",,,"Pick Up",,0,,"Source"
"10/27/18 00:00:00","10/25/18 00:00:00",,42367,"NS RI",,,"Temporary",,"Clean Only",,,"Pick Up",,1,,"Source"
"10/29/18 00:00:00","10/24/18 00:00:00",,42349,"Awning Cleaning Industries",,,"Seasonal",,"Clean & Treat

small hole in front val, not critical",,,"Re-Hang","10/31/18 00:00:00",0,,"Customer"
"10/29/18 00:00:00","10/15/18 00:00:00",,42293,"ACI",,,"Temporary","7 D","Clean & Treat

customer asked us to look for missing snaps - none noticed, but some snap screws were still attached (put in bag and put with cover).  1 @ 7-10 has weak stitch on right wing hem","quote","R10687","Pick Up","10/30/18 00:00:00",0,,"Customer"
"10/29/18 00:00:00","10/16/18 00:00:00",,42323,"Lexington Tent & Awning",,,"Temporary","6 C","Clean & Treat
dirty, mildew, lichen, streaks on front vals

10'9 - wear hole on outside of arm pocket on R wing needs glue patch",,,"Ship","10/30/18 00:00:00",0,,"Source"
"10/29/18 00:00:00","10/15/18 00:00:00",,42318,"Gemini Marine Canvas",,,"Temporary","7 C","Clean & Treat
mild mildew underside

one large one has brown streak on top that should come out",,,"Ship","10/30/18 00:00:00",0,,"Source"
"10/29/18 00:00:00","10/17/18 00:00:00",,42309,"Awning Cleaning Industries",,,"Seasonal",,"Clean & Treat",,,"Re-Hang","10/31/18 00:00:00",0,,"Customer"
"10/29/18 00:00:00","10/17/18 00:00:00",,42325,"Sunnyside Marine Upholstery",,,"Temporary","6 B","Clean & Treat

2 hinged - slight wear on piping in corner, one has trolley that can disconnect and no stop but won't fall off.  One small - loose stitch at end of zip where it joins body
CR - 90% IMPROVEMENT",,,"Pick Up","10/30/18 00:00:00",0,,"Source"
"10/30/18 00:00:00","10/12/18 00:00:00",,42283,"Sign DesignJC Awning",,,"Temporary","7 B","Clean & Treat
dirty, mildew, some rust

customer said they both needed FB restitch BUT:
27'4 - Front and right lace band plus RS rafter pockets need restitch, one grommet missing on rafter pocket 2nd from LS
16'3 - tear in front val on FS, hole in front L corner, front lace band needs restitch","quote","R10680","Pick Up","10/31/18 00:00:00",0,,"Customer"
"10/30/18 00:00:00","10/17/18 00:00:00",,42315,"NS CT",,,"Temporary","bin 3 bottom","RINSE ONLY",,,"Pick Up",,0,,"Source"
"10/30/18 00:00:00","10/12/18 00:00:00",,42284,"Window Works",,,"Temporary","25 bin 2 top","Clean & Treat
dirty, mildew, white paint spots

Both need full restitch.  CR - front of lat has damage from powerwasher on LS by trailer, needs patching after cleaning but matching fabric no longer avail, used samples from books","quote","R10682","Ship","10/31/18 00:00:00",0,,"Source"
